region,datetime,weather,temperature,rainfall,wind_direction,wind_level,wind_speed,wind_angle,pressure,humidity,air_quality,visibility,cloud,dew_point,shortwave_radiation,所在市_norm,所在区_norm
福建/泉州/鲤城,2026-01-02 17:00:00,晴,10.9,0.0,未知,2,8,0,1000,43,50,10,1,,348.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 17:00:00,晴,12.1,0.0,未知,2,8,0,1000,43,50,10,10,,279.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 17:00:00,多云,12.3,0.0,未知,2,8,0,1000,44,50,10,62,,196.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 17:00:00,晴,12.6,0.0,未知,2,8,0,1000,45,50,10,0,,298.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 18:00:00,晴,10.4,0.0,未知,2,8,0,1000,52,50,10,1,,112.0,福州,鼓楼
福建/泉州/鲤城,2026-01-02 18:00:00,晴,9.5,0.0,未知,2,8,0,1000,46,50,10,0,,146.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 18:00:00,晴,10.2,0.0,未知,2,8,0,1000,55,50,10,9,,98.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 18:00:00,晴,9.8,0.0,未知,2,8,0,1000,60,50,10,0,,110.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 19:00:00,晴,9.2,0.0,未知,2,8,0,1000,61,50,10,0,,5.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 19:00:00,晴,9.6,0.0,未知,2,8,0,1000,58,50,10,1,,6.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 19:00:00,晴,7.5,0.0,未知,2,8,0,1000,51,50,10,0,,9.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 19:00:00,晴,8.6,0.0,未知,2,8,0,1000,67,50,10,0,,4.0,宁德,蕉城
福建/宁德/蕉城,2026-01-02 20:00:00,晴,7.8,0.0,未知,2,8,0,1000,70,50,10,0,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 20:00:00,晴,9.2,0.0,未知,2,8,0,1000,60,50,10,0,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 20:00:00,晴,6.3,0.0,未知,2,8,0,1000,55,50,10,0,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 20:00:00,晴,8.6,0.0,未知,2,8,0,1000,62,50,10,0,,0.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 21:00:00,晴,8.5,0.0,未知,2,8,0,1000,71,50,10,0,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 21:00:00,晴,8.9,0.0,未知,2,8,0,1000,67,50,10,0,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 21:00:00,晴,4.8,0.0,未知,2,8,0,1000,67,50,10,0,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 21:00:00,晴,8.6,0.0,未知,2,8,0,1000,70,50,10,2,,0.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 22:00:00,晴,8.8,0.0,未知,2,8,0,1000,66,50,10,0,,0.0,莆田,城厢
